fromTime,pm25_skøyen,skøyen_roll_3h,skøyen_roll_12h,pm25_furulund,furulund_roll_3h,furulund_roll_12h,hour,weekday,is_weekend,month,anomaly_skøyen,anomaly_score_skøyen,anomaly_furulund,anomaly_score_furulund
2023-01-04 13:00:00+0100,1.653025,1.8552860000000002,4.5219846666666665,1.379356,1.6083103333333322,3.801819,13,2,0,1,1.0,0.2946356922152619,1.0,0.2319632877898533
2023-01-04 14:00:00+0100,1.722369,1.7182543333333333,3.99958625,1.120428,1.3987993333333322,3.3554678333333334,14,2,0,1,1.0,0.2935645774579977,1.0,0.22768353328671626
2023-01-04 15:00:00+0100,1.629689,1.668361,3.503228416666667,1.940489,1.4800909999999987,2.8241778333333336,15,2,0,1,1.0,0.29866709585559786,1.0,0.2388408145651525
2023-01-04 16:00:00+0100,1.653756,1.6686046666666667,3.008082416666667,2.036775,1.6992306666666657,2.481473,16,2,0,1,1.0,0.2943977652138395,1.0,0.2388414596579117
2023-01-04 17:00:00+0100,1.984861,1.756102,2.600125,2.109775,2.0290129999999986,2.217549583333333,17,2,0,1,1.0,0.2929534235761599,1.0,0.23838416304433674
2023-01-04 18:00:00+0100,2.199883,1.9461666666666666,2.372296,2.047078,2.0645426666666653,2.0635000833333335,18,2,0,1,1.0,0.2970408138011121,1.0,0.23265686116329531
2023-01-04 19:00:00+0100,2.037494,2.0740793333333336,2.16109875,2.010797,2.055883333333332,1.9210845833333332,19,2,0,1,1.0,0.2929306073354341,1.0,0.2269378843987413
2023-01-04 20:00:00+0100,1.794964,2.0107803333333334,2.0315297500000002,2.052494,2.0367896666666656,1.8609275833333332,20,2,0,1,1.0,0.2881225618099379,1.0,0.22265476325808758
2023-01-04 21:00:00+0100,1.447422,1.7599600000000002,1.8803309166666666,1.812508,1.9585996666666654,1.82210025,21,2,0,1,1.0,0.2798628146562942,1.0,0.21013058812056573
2023-01-04 22:00:00+0100,1.064828,1.435738,1.7584270000000002,2.195989,2.020330333333332,1.8459386666666664,22,2,0,1,1.0,0.2590454600949206,1.0,0.204024094748472
2023-01-04 23:00:00+0100,1.058014,1.190088,1.668806166666667,1.030314,1.6796036666666654,1.7860514166666663,23,2,0,1,1.0,0.23817083248869697,1.0,0.17448741945643897
